long;str;
1386;+6 Naturwiderstand;xxxx
1387;+7 Naturwiderstand;xxxx
1388;+8 Naturwiderstand;xxxx
1389;+9 Naturwiderstand;xxxx
1390;+10 Naturwiderstand;xxxx
1391;+11 Naturwiderstand;xxxx
1392;+12 Naturwiderstand;xxxx
1393;+13 Naturwiderstand;xxxx
1394;+14 Naturwiderstand;xxxx
1395;+15 Naturwiderstand;xxxx
1396;+16 Naturwiderstand;xxxx
1397;+17 Naturwiderstand;xxxx
1398;+18 Naturwiderstand;xxxx
1399;+19 Naturwiderstand;xxxx
1400;+20 Naturwiderstand;xxxx
1401;+21 Naturwiderstand;xxxx
1402;+22 Naturwiderstand;xxxx
1403;+23 Naturwiderstand;xxxx
1404;+24 Naturwiderstand;xxxx
1405;+25 Naturwiderstand;xxxx
1406;+26 Naturwiderstand;xxxx
1407;+27 Naturwiderstand;xxxx
1408;+28 Naturwiderstand;xxxx
1409;+29 Naturwiderstand;xxxx
1410;+30 Naturwiderstand;xxxx
1411;+31 Naturwiderstand;xxxx
1412;+32 Naturwiderstand;xxxx
1413;+33 Naturwiderstand;xxxx
1414;+34 Naturwiderstand;xxxx
1415;+35 Naturwiderstand;xxxx
1416;+36 Naturwiderstand;xxxx
1417;+37 Naturwiderstand;xxxx
1418;+38 Naturwiderstand;xxxx
1419;+39 Naturwiderstand;xxxx
1420;+40 Naturwiderstand;xxxx
1421;+41 Naturwiderstand;xxxx
1422;+42 Naturwiderstand;xxxx
1423;+43 Naturwiderstand;xxxx
1424;+44 Naturwiderstand;xxxx
1425;+45 Naturwiderstand;xxxx
1426;+46 Naturwiderstand;xxxx
1427;+1 Schattenwiderstand;xxxx
1428;+2 Schattenwiderstand;xxxx
1429;+3 Schattenwiderstand;xxxx
1430;+4 Schattenwiderstand;xxxx
1431;+5 Schattenwiderstand;xxxx
1432;+6 Schattenwiderstand;xxxx
1433;+7 Schattenwiderstand;xxxx
1434;+8 Schattenwiderstand;xxxx
1435;+9 Schattenwiderstand;xxxx
1436;+10 Schattenwiderstand;xxxx
1437;+11 Schattenwiderstand;xxxx
1438;+12 Schattenwiderstand;xxxx
1439;+13 Schattenwiderstand;xxxx
1440;+14 Schattenwiderstand;xxxx
1441;+15 Schattenwiderstand;xxxx
1442;+16 Schattenwiderstand;xxxx
1443;+17 Schattenwiderstand;xxxx
1444;+18 Schattenwiderstand;xxxx
1445;+19 Schattenwiderstand;xxxx
1446;+20 Schattenwiderstand;xxxx
1447;+21 Schattenwiderstand;xxxx
1448;+22 Schattenwiderstand;xxxx
1449;+23 Schattenwiderstand;xxxx
1450;+24 Schattenwiderstand;xxxx
1451;+25 Schattenwiderstand;xxxx
1452;+26 Schatten widerstehen;xxxx
1453;+27 Schattenwiderstand;xxxx
1454;+28 Schattenwiderstand;xxxx
1455;+29 Schattenwiderstand;xxxx
1456;+30 Schattenwiderstand;xxxx
1457;+31 Schattenwiderstand;xxxx
1458;+32 Schattenwiderstand;xxxx
1459;+33 Schattenwiderstand;xxxx
1460;+34 Schattenwiderstand;xxxx
1461;+35 Schattenwiderstand;xxxx
1462;+36 Schattenwiderstand;xxxx
1463;+37 Schattenwiderstand;xxxx
1464;+38 Schattenwiderstand;xxxx
1465;+39 Schattenwiderstand;xxxx
1466;+40 Schattenwiderstand;xxxx
1467;+41 Schattenwiderstand;xxxx
1468;+42 Schattenwiderstand;xxxx
1469;+43 Schattenwiderstand;xxxx
1470;+44 Schattenwiderstand;xxxx
1471;+45 Schattenwiderstand;xxxx
1472;+46 Schattenwiderstand;xxxx
1483;+150 Mana;xxxx
1503;+100 Gesundheit;xxxx
1504;+125 Rüstung;xxxx
1505;+20 Feuerwiderstand;xxxx
1506;+8 Stärke;xxxx
1507;+8 Ausdauer;xxxx
1508;+8 Beweglichkeit;xxxx
1509;+8 Intelligenz;xxxx
1510;+8 Willenskraft;xxxx
1523;MANA/FW +85/14;xxxx
1524;GP/FW +75/14;xxxx
1525;RK/FW +110/14;xxxx
1526;KRA/FW +10/14;xxxx
1527;AUS/FW +10/14;xxxx
1528;BEW/FW +10/14;xxxx
1529;INT/FW +10/14;xxxx
1530;GEI/FW +10/14;xxxx
1531;KRA/AUS +10/10;xxxx
1532;KRA/AUS/RK/FW +10/10/110/15;xxxx
1543;+10/10/100/15 INT/WILL/MANA/FR;xxxx
1563;+2 Angriffskraft;xxxx
1583;+4 Angriffskraft;xxxx
1584;+6 Angriffskraft;xxxx
1585;+8 Angriffskraft;xxxx
1586;+10 Angriffskraft;xxxx
1587;+12 Angriffskraft;xxxx
1588;+14 Angriffskraft;xxxx
1589;+16 Angriffskraft;xxxx
1590;+18 Angriffskraft;xxxx
1591;+20 Angriffskraft;xxxx
1592;+22 Angriffskraft;xxxx
1593;+24 Angriffskraft;xxxx
1594;+26 Angriffskraft;xxxx
1595;+28 Angriffskraft;xxxx
1596;+30 Angriffskraft;xxxx
1597;+32 Angriffskraft;xxxx
1598;+34 Angriffskraft;xxxx
1599;+36 Angriffskraft;xxxx
1600;+38 Angriffskraft;xxxx
1601;+32 Angriffskraft;xxxx
1602;+42 Angriffskraft;xxxx
1603;+44 Angriffskraft;xxxx
1604;+46 Angriffskraft;xxxx
1605;+48 Angriffskraft;xxxx
1606;+50 Angriffskraft;xxxx
1607;+52 Angriffskraft;xxxx
1608;+54 Angriffskraft;xxxx
1609;+56 Angriffskraft;xxxx
1610;+58 Angriffskraft;xxxx
1611;+60 Angriffskraft;xxxx
1612;+62 Angriffskraft;xxxx
1613;+64 Angriffskraft;xxxx
1614;+66 Angriffskraft;xxxx
1615;+68 Angriffskraft;xxxx
1616;+70 Angriffskraft;xxxx
1617;+72 Angriffskraft;xxxx
1618;+74 Angriffskraft;xxxx
1619;+76 Angriffskraft;xxxx
1620;+78 Angriffskraft;xxxx
1621;+80 Angriffskraft;xxxx
1622;+82 Angriffskraft;xxxx
1623;+84 Angriffskraft;xxxx
1624;+86 Angriffskraft;xxxx
1625;+88 Angriffskraft;xxxx
1626;+90 Angriffskraft;xxxx
1627;+92 Angriffskraft;xxxx
1643;Geschärft (+8 Schaden);xxxx
1663;Felsbeißer 5;xxxx
1664;Felsbeißer 7;xxxx
1665;Flammenzunge 5;xxxx
1666;Flammenzunge 6;xxxx
1667;Frostbrand 4;xxxx
1668;Frostbrand 5;xxxx
1669;Windzorn 4;xxxx
1683;Totem der Flammenzunge 4;xxxx
1703;Beschwert (+8 Schaden);xxxx
1704;Thoriumstachel (20-30);xxxx
1723;Omen der Klarsicht;xxxx
1743;MHTest02;xxxx
1763;Kaltblütigkeit;xxxx
1783;Totem des Windzorns 1;xxxx
1803;Feuerstein 1;xxxx
1823;Feuerstein 2;xxxx
1824;Feuerstein 3;xxxx
1825;Feuerstein 4;xxxx
1843;Verstärkt (+40 Rüstung);xxxx
1863;Rückkopplung 2;xxxx
1864;Rückkopplung 3;xxxx
1865;Rückkopplung 4;xxxx
1866;Rückkopplung 5;xxxx
1883;+7 Intelligenz;xxxx
1884;+9 Willenskraft;xxxx
1885;+9 Stärke;xxxx
1886;+9 Ausdauer;xxxx
1887;+7 Beweglichkeit;xxxx
1888;+5 alle Widerstandsarten;xxxx
1889;+70 Rüstung;xxxx
1890;+10 Willenskraft und +10 Ausdauer;xxxx
1891;+4 alle Werte;xxxx
1892;+100 Gesundheit;xxxx
1893;+100 Mana;xxxx
1894;Eisiger Hauch;xxxx
1895;+9 Schaden;xxxx
1896;+9 Waffenschaden;xxxx
1897;+5 Waffenschaden;xxxx
1898;Lebensdiebstahl;xxxx
1899;Unheilige Waffe;xxxx
1900;Kreuzfahrer;xxxx
1901;+9 Intelligenz;xxxx
1903;+9 Willenskraft;xxxx
1904;+9 Intelligenz;xxxx
1923;+3 Feuerwiderstand;xxxx
1943;+12 Ausweichwertung;xxxx
1944;+8 Ausweichwertung;xxxx
1945;+9 Ausweichwertung;xxxx
1946;+10 Ausweichwertung;xxxx
1947;+11 Ausweichwertung;xxxx
1948;+13 Ausweichwertung;xxxx
1949;+14 Ausweichwertung;xxxx
1950;+15 Ausweichwertung;xxxx
1951;+18 Ausweichwertung;xxxx
1952;+20 Ausweichwertung;xxxx
1953;+22 Ausweichwertung;xxxx
1954;+25 Ausweichwertung;xxxx
1955;+32 Ausweichwertung;xxxx
1956;+17 Ausweichwertung;xxxx
1957;+18 Ausweichwertung;xxxx
1958;+19 Ausweichwertung;xxxx
1959;+21 Ausweichwertung;xxxx
1960;+23 Ausweichwertung;xxxx
1961;+24 Ausweichwertung;xxxx
1962;+26 Ausweichwertung;xxxx
1963;+27 Ausweichwertung;xxxx
1964;+28 Ausweichwertung;xxxx
1965;+29 Ausweichwertung;xxxx
1966;+30 Ausweichwertung;xxxx
1967;+31 Ausweichwertung;xxxx
1968;+33 Ausweichwertung;xxxx
1969;+34 Ausweichwertung;xxxx
1970;+35 Ausweichwertung;xxxx
1971;+36 Ausweichwertung;xxxx
1972;+37 Ausweichwertung;xxxx
1973;+38 Ausweichwertung;xxxx
1983;+5 Blockwertung;xxxx
1984;+10 Blockwertung;xxxx
1985;+15 Blockwertung;xxxx
1986;+20 Blockwertung;xxxx
1987;Blocken Stufe 14;xxxx
1988;Blocken Stufe 15;xxxx
1989;Blocken Stufe 16;xxxx
1990;Blocken Stufe 17;xxxx
1991;Blocken Stufe 18;xxxx
1992;Blocken Stufe 19;xxxx
1993;Blocken Stufe 20;xxxx
1994;Blocken Stufe 21;xxxx
1995;Blocken Stufe 22;xxxx
1996;Blocken Stufe 23;xxxx
1997;Blocken Stufe 24;xxxx
1998;Blocken Stufe 25;xxxx
1999;Blocken Stufe 26;xxxx
2000;Blocken Stufe 27;xxxx
2001;Blocken Stufe 28;xxxx
2002;Blocken Stufe 29;xxxx
2003;Blocken Stufe 30;xxxx
2004;Blocken Stufe 31;xxxx
2005;Blocken Stufe 32;xxxx
2006;Blocken Stufe 33;xxxx
2007;Blocken Stufe 34;xxxx
2008;Blocken Stufe 35;xxxx
2009;Blocken Stufe 36;xxxx
2010;Blocken Stufe 37;xxxx
2011;Blocken Stufe 38;xxxx
2012;Blocken Stufe 39;xxxx
2013;Blocken Stufe 40;xxxx
2014;Blocken Stufe 41;xxxx
2015;Blocken Stufe 42;xxxx
2016;Blocken Stufe 43;xxxx
2017;Blocken Stufe 44;xxxx
2018;Blocken Stufe 45;xxxx
2019;Blocken Stufe 46;xxxx
2020;Blocken Stufe 47;xxxx
2021;Blocken Stufe 48;xxxx
2022;Blocken Stufe 49;xxxx
2023;Blocken Stufe 50;xxxx
2024;Blocken Stufe 51;xxxx
2025;Blocken Stufe 52;xxxx
2026;Blocken Stufe 53;xxxx
2027;Blocken Stufe 54;xxxx
2028;Blocken Stufe 55;xxxx
2029;Blocken Stufe 56;xxxx
2030;Blocken Stufe 57;xxxx
2031;Blocken Stufe 58;xxxx
2032;Blocken Stufe 59;xxxx
2033;Blocken Stufe 60;xxxx
2034;Blocken Stufe 61;xxxx
2035;Blocken Stufe 62;xxxx
2036;Blocken Stufe 63;xxxx
2037;Blocken Stufe 64;xxxx
2038;Blocken Stufe 65;xxxx
2039;Blocken Stufe 66;xxxx
2040;+2 Distanzangriffskraft;xxxx
2041;+5 Distanzangriffskraft;xxxx
2042;+7 Distanzangriffskraft;xxxx
2043;+10 Distanzangriffskraft;xxxx
2044;+12 Distanzangriffskraft;xxxx
2045;+14 Distanzangriffskraft;xxxx
2046;+17 Distanzangriffskraft;xxxx
2047;+19 Distanzangriffskraft;xxxx
2048;+22 Distanzangriffskraft;xxxx
2049;+24 Distanzangriffskraft;xxxx
2050;+26 Distanzangriffskraft;xxxx
2051;+29 Distanzangriffskraft;xxxx
2052;+31 Distanzangriffskraft;xxxx
2053;+34 Distanzangriffskraft;xxxx
2054;+36 Distanzangriffskraft;xxxx
2055;+38 Distanzangriffskraft;xxxx
2056;+41 Distanzangriffskraft;xxxx
2057;+43 Distanzangriffskraft;xxxx
2058;+46 Distanzangriffskraft;xxxx
2059;+48 Distanzangriffskraft;xxxx
2060;+50 Distanzangriffskraft;xxxx
2061;+53 Distanzangriffskraft;xxxx
2062;+55 Distanzangriffskraft;xxxx
2063;+58 Distanzangriffskraft;xxxx
2064;+60 Distanzangriffskraft;xxxx
2065;+62 Distanzangriffskraft;xxxx
2066;+65 Distanzangriffskraft;xxxx
2067;+67 Distanzangriffskraft;xxxx
2068;+70 Distanzangriffskraft;xxxx
2069;+72 Distanzangriffskraft;xxxx
2070;+74 Distanzangriffskraft;xxxx
2071;+77 Distanzangriffskraft;xxxx
2072;+79 Distanzangriffskraft;xxxx
2073;+82 Distanzangriffskraft;xxxx
2074;+84 Distanzangriffskraft;xxxx
2075;+86 Distanzangriffskraft;xxxx
2076;+89 Distanzangriffskraft;xxxx
2077;+91 Distanzangriffskraft;xxxx
2078;+12 Ausweichwertung;xxxx
2079;+1 Arkanzauberschaden;xxxx
2080;+3 Arkanzauberschaden;xxxx
2081;+4 Arkanzauberschaden;xxxx
2082;+6 Arkanzauberschaden;xxxx
2083;+7 Arkanzauberschaden;xxxx
2084;+9 Arkanzauberschaden;xxxx
2085;+10 Arkanzauberschaden;xxxx
2086;+11 Arkanzauberschaden;xxxx
2087;+13 Arkanzauberschaden;xxxx
2088;+14 Arkanzauberschaden;xxxx
2089;+16 Arkanzauberschaden;xxxx
2090;+17 Arkanzauberschaden;xxxx
2091;+19 Arkanzauberschaden;xxxx
2092;+20 Arkanzauberschaden;xxxx
2093;+21 Arkanzauberschaden;xxxx
2094;+23 Arkanzauberschaden;xxxx
2095;+24 Arkanzauberschaden;xxxx
2096;+26 Arkanzauberschaden;xxxx
2097;+27 Arkanzauberschaden;xxxx
2098;+29 Arkanzauberschaden;xxxx
2099;+30 Arkanzauberschaden;xxxx
2100;+31 Arkanzauberschaden;xxxx
2101;+33 Arkanzauberschaden;xxxx
2102;+34 Arkanzauberschaden;xxxx
2103;+36 Arkanzauberschaden;xxxx
2104;+37 Arkanzauberschaden;xxxx
2105;+39 Arkanzauberschaden;xxxx
2106;+40 Arkanzauberschaden;xxxx
2107;+41 Arkanzauberschaden;xxxx
2108;+43 Arkanzauberschaden;xxxx
2109;+44 Arkanzauberschaden;xxxx
2110;+46 Arkanzauberschaden;xxxx
2111;+47 Arkanzauberschaden;xxxx
2112;+49 Arkanzauberschaden;xxxx
2113;+50 Arkanzauberschaden;xxxx
2114;+51 Arkanzauberschaden;xxxx
2115;+53 Arkanzauberschaden;xxxx
2116;+54 Arkanzauberschaden;xxxx
2117;+1 Schattenzauberschaden;xxxx
2118;+3 Schattenzauberschaden;xxxx
2119;+4 Schattenzauberschaden;xxxx
2120;+6 Schattenzauberschaden;xxxx
2121;+7 Schattenzauberschaden;xxxx
2122;+9 Schattenzauberschaden;xxxx
2123;+10 Schattenzauberschaden;xxxx
2124;+11 Schattenzauberschaden;xxxx
2125;+13 Schattenzauberschaden;xxxx
2126;+14 Schattenzauberschaden;xxxx
2127;+16 Schattenzauberschaden;xxxx
2128;+17 Schattenzauberschaden;xxxx
2129;+19 Schattenzauberschaden;xxxx
2130;+20 Schattenzauberschaden;xxxx
2131;+21 Schattenzauberschaden;xxxx
2132;+23 Schattenzauberschaden;xxxx
2133;+24 Schattenzauberschaden;xxxx
2134;+26 Schattenzauberschaden;xxxx
2135;+27 Schattenzauberschaden;xxxx
2136;+29 Schattenzauberschaden;xxxx
2137;+30 Schattenzauberschaden;xxxx
2138;+31 Schattenzauberschaden;xxxx
2139;+33 Schattenzauberschaden;xxxx
2140;+34 Schattenzauberschaden;xxxx
2141;+36 Schattenzauberschaden;xxxx
2142;+37 Schattenzauberschaden;xxxx
2143;+39 Schattenzauberschaden;xxxx
2144;+40 Schattenzauberschaden;xxxx
2145;+41 Schattenzauberschaden;xxxx
2146;+43 Schattenzauberschaden;xxxx
2147;+44 Schattenzauberschaden;xxxx
2148;+46 Schattenzauberschaden;xxxx
2149;+47 Schattenzauberschaden;xxxx
2150;+49 Schattenzauberschaden;xxxx
2151;+50 Schattenzauberschaden;xxxx
2152;+51 Schattenzauberschaden;xxxx
2153;+53 Schattenzauberschaden;xxxx
2154;+54 Schattenzauberschaden;xxxx
2155;+1 Feuerzauberschaden;xxxx
2156;+3 Feuerzauberschaden;xxxx
2157;+4 Feuerzauberschaden;xxxx
2158;+6 Feuerzauberschaden;xxxx
2159;+7 Feuerzauberschaden;xxxx
2160;+9 Feuerzauberschaden;xxxx
2161;+10 Feuerzauberschaden;xxxx
2162;+11 Feuerzauberschaden;xxxx
2163;+13 Feuerzauberschaden;xxxx
2164;+14 Feuerzauberschaden;xxxx
2165;+16 Feuerzauberschaden;xxxx
2166;+17 Feuerzauberschaden;xxxx
2167;+19 Feuerzauberschaden;xxxx
2168;+20 Feuerzauberschaden;xxxx
2169;+21 Feuerzauberschaden;xxxx
2170;+23 Feuerzauberschaden;xxxx
2171;+24 Feuerzauberschaden;xxxx
2172;+26 Feuerzauberschaden;xxxx
2173;+27 Feuerzauberschaden;xxxx
2174;+29 Feuerzauberschaden;xxxx
2175;+30 Feuerzauberschaden;xxxx
2176;+31 Feuerzauberschaden;xxxx
2177;+33 Feuerzauberschaden;xxxx
2178;+34 Feuerzauberschaden;xxxx
2179;+36 Feuerzauberschaden;xxxx
2180;+37 Feuerzauberschaden;xxxx
2181;+39 Feuerzauberschaden;xxxx
2182;+40 Feuerzauberschaden;xxxx
2183;+41 Feuerzauberschaden;xxxx
2184;+43 Feuerzauberschaden;xxxx
2185;+44 Feuerzauberschaden;xxxx
2186;+46 Feuerzauberschaden;xxxx
2187;+47 Feuerzauberschaden;xxxx
2188;+49 Feuerzauberschaden;xxxx
2189;+50 Feuerzauberschaden;xxxx
2190;+51 Feuerzauberschaden;xxxx
2191;+53 Feuerzauberschaden;xxxx
2192;+54 Feuerzauberschaden;xxxx
2193;+1 Heiligzauberschaden;xxxx
2194;+3 Heiligzauberschaden;xxxx
2195;+4 Heiligzauberschaden;xxxx
2196;+6 Heiligzauberschaden;xxxx
2197;+7 Heiligzauberschaden;xxxx
2198;+9 Heiligzauberschaden;xxxx
2199;+10 Heiligzauberschaden;xxxx
2200;+11 Heiligzauberschaden;xxxx
2201;+13 Heiligzauberschaden;xxxx
2202;+14 Heiligzauberschaden;xxxx
2203;+16 Heiligzauberschaden;xxxx
2204;+17 Heiligzauberschaden;xxxx
2205;+19 Heiligzauberschaden;xxxx
2206;+20 Heiligzauberschaden;xxxx
2207;+21 Heiligzauberschaden;xxxx
2208;+23 Heiligzauberschaden;xxxx
2209;+24 Heiligzauberschaden;xxxx
2210;+26 Heiligzauberschaden;xxxx
2211;+27 Heiligzauberschaden;xxxx
2212;+29 Heiligzauberschaden;xxxx
2213;+30 Heiligzauberschaden;xxxx
2214;+31 Heiligzauberschaden;xxxx
2215;+33 Heiligzauberschaden;xxxx
2216;+34 Heiligzauberschaden;xxxx
2217;+36 Heiligzauberschaden;xxxx
2218;+37 Heiligzauberschaden;xxxx
2219;+39 Heiligzauberschaden;xxxx
2220;+40 Heiligzauberschaden;xxxx
2221;+41 Heiligzauberschaden;xxxx
2222;+43 Heiligzauberschaden;xxxx
2223;+44 Heiligzauberschaden;xxxx
2224;+46 Heiligzauberschaden;xxxx
2225;+47 Heiligzauberschaden;xxxx
2226;+49 Heiligzauberschaden;xxxx
2227;+50 Heiligzauberschaden;xxxx
2228;+51 Heiligzauberschaden;xxxx
2229;+53 Heiligzauberschaden;xxxx
2230;+54 Heiligzauberschaden;xxxx
2231;+1 Frostzauberschaden;xxxx
2232;+3 Frostzauberschaden;xxxx
2233;+4 Frostzauberschaden;xxxx
2234;+6 Frostzauberschaden;xxxx
2235;+7 Frostzauberschaden;xxxx
2236;+9 Frostzauberschaden;xxxx
2237;+10 Frostzauberschaden;xxxx
2238;+11 Frostzauberschaden;xxxx
2239;+13 Frostzauberschaden;xxxx
2240;+14 Frostzauberschaden;xxxx
2241;+16 Frostzauberschaden;xxxx
2242;+17 Frostzauberschaden;xxxx
2243;+19 Frostzauberschaden;xxxx
2244;+20 Frostzauberschaden;xxxx
2245;+21 Frostzauberschaden;xxxx
2246;+23 Frostzauberschaden;xxxx
2247;+24 Frostzauberschaden;xxxx
2248;+26 Frostzauberschaden;xxxx
2249;+27 Frostzauberschaden;xxxx
2250;+29 Frostzauberschaden;xxxx
2251;+30 Frostzauberschaden;xxxx
2252;+31 Frostzauberschaden;xxxx
2253;+33 Frostzauberschaden;xxxx
2254;+34 Frostzauberschaden;xxxx
2255;+36 Frostzauberschaden;xxxx
2256;+37 Frostzauberschaden;xxxx
2257;+39 Frostzauberschaden;xxxx
2258;+40 Frostzauberschaden;xxxx
2259;+41 Frostzauberschaden;xxxx
2260;+43 Frostzauberschaden;xxxx
2261;+44 Frostzauberschaden;xxxx
2262;+46 Frostzauberschaden;xxxx
2263;+47 Frostzauberschaden;xxxx
2264;+49 Frostzauberschaden;xxxx
2265;+50 Frostzauberschaden;xxxx
2266;+51 Frostzauberschaden;xxxx
2267;+53 Frostzauberschaden;xxxx
2268;+54 Frostzauberschaden;xxxx
2269;+1 Naturzauberschaden;xxxx
2270;+3 Naturzauberschaden;xxxx
2271;+4 Naturzauberschaden;xxxx
2272;+6 Naturzauberschaden;xxxx
2273;+7 Naturzauberschaden;xxxx
2274;+9 Naturzauberschaden;xxxx
2275;+10 Naturzauberschaden;xxxx
2276;+11 Naturzauberschaden;xxxx
2277;+13 Naturzauberschaden;xxxx
2278;+14 Naturzauberschaden;xxxx
2279;+16 Naturzauberschaden;xxxx
2280;+17 Naturzauberschaden;xxxx
2281;+19 Naturzauberschaden;xxxx
2282;+20 Naturzauberschaden;xxxx
2283;+21 Naturzauberschaden;xxxx
2284;+23 Naturzauberschaden;xxxx
2285;+24 Naturzauberschaden;xxxx
2286;+26 Naturzauberschaden;xxxx
2287;+27 Naturzauberschaden;xxxx
2288;+29 Naturzauberschaden;xxxx
2289;+30 Naturzauberschaden;xxxx
2290;+31 Naturzauberschaden;xxxx
2291;+33 Naturzauberschaden;xxxx
2292;+34 Naturzauberschaden;xxxx
2293;+36 Naturzauberschaden;xxxx
2294;+37 Naturzauberschaden;xxxx
2295;+39 Naturzauberschaden;xxxx
2296;+40 Naturzauberschaden;xxxx
2297;+41 Naturzauberschaden;xxxx
2298;+43 Naturzauberschaden;xxxx
2299;+44 Naturzauberschaden;xxxx
2300;+46 Naturzauberschaden;xxxx
2301;+47 Naturzauberschaden;xxxx
2302;+49 Naturzauberschaden;xxxx
2303;+50 Naturzauberschaden;xxxx
2304;+51 Naturzauberschaden;xxxx
2305;+53 Naturzauberschaden;xxxx
2306;+54 Naturzauberschaden;xxxx
2307;+1 Zaubermacht;xxxx
2308;+2 Zaubermacht;xxxx
2309;+4 Zaubermacht;xxxx
2310;+5 Zaubermacht;xxxx
2311;+6 Zaubermacht;xxxx
2312;+7 Zaubermacht;xxxx
2313;+8 Zaubermacht;xxxx
2314;+9 Zaubermacht;xxxx
2315;+11 Zaubermacht;xxxx
2316;+12 Zaubermacht;xxxx
2317;+13 Zaubermacht;xxxx
2318;+14 Zaubermacht;xxxx
2319;+15 Zaubermacht;xxxx
2320;+16 Zaubermacht;xxxx
2321;+18 Zaubermacht;xxxx
2322;+19 Zaubermacht;xxxx
2323;+20 Zaubermacht;xxxx
2324;+21 Zaubermacht;xxxx
2325;+22 Zaubermacht;xxxx
2326;+23 Zaubermacht;xxxx
2327;+25 Zaubermacht;xxxx
2328;+26 Zaubermacht;xxxx
2329;+27 Zaubermacht;xxxx
2330;+28 Zaubermacht;xxxx
2331;+29 Zaubermacht;xxxx
2332;+30 Zaubermacht;xxxx
2333;+32 Zaubermacht;xxxx
2334;+33 Zaubermacht;xxxx
2335;+34 Zaubermacht;xxxx
2336;+35 Zaubermacht;xxxx
2337;+36 Zaubermacht;xxxx
2338;+37 Zaubermacht;xxxx
2339;+39 Zaubermacht;xxxx
2340;+40 Zaubermacht;xxxx
2341;+41 Zaubermacht;xxxx
2342;+42 Zaubermacht;xxxx
2343;+43 Zaubermacht;xxxx
2344;+44 Zaubermacht;xxxx
2363;Alle 5 Sek. 1 Mana;xxxx
2364;Alle 5 Sek. 1 Mana;xxxx
2365;Alle 5 Sek. 1 Mana;xxxx
2366;Alle 5 Sek. 2 Mana;xxxx
2367;Alle 5 Sek. 2 Mana;xxxx
2368;Alle 5 Sek. 2 Mana;xxxx
2369;Alle 5 Sek. 3 Mana;xxxx
2370;Alle 5 Sek. 3 Mana;xxxx
2371;Alle 5 Sek. 4 Mana;xxxx
2372;Alle 5 Sek. 4 Mana;xxxx
2373;Alle 5 Sek. 4 Mana;xxxx
2374;Alle 5 Sek. 5 Mana;xxxx
2375;Alle 5 Sek. 5 Mana;xxxx
2376;Alle 5 Sek. 6 Mana;xxxx
2377;Alle 5 Sek. 6 Mana;xxxx
2378;Alle 5 Sek. 6 Mana;xxxx
2379;Alle 5 Sek. 7 Mana;xxxx
2380;Alle 5 Sek. 7 Mana;xxxx
2381;+20 Willenskraft;xxxx
2382;Alle 5 Sek. 8 Mana;xxxx
2383;Alle 5 Sek. 8 Mana;xxxx
2384;Alle 5 Sek. 9 Mana;xxxx
2385;Alle 5 Sek. 9 Mana;xxxx
2386;+24 Willenskraft;xxxx
2387;+25 Willenskraft;xxxx
2388;+26 Willenskraft;xxxx
2389;+27 Willenskraft;xxxx
2390;+28 Willenskraft;xxxx
2391;+29 Willenskraft;xxxx
2392;+30 Willenskraft;xxxx
2393;+31 Willenskraft;xxxx
2394;+32 Willenskraft;xxxx
2395;+33 Willenskraft;xxxx
2396;Alle 5 Sek. 14 Mana;xxxx
2397;Alle 5 Sek. 14 Mana;xxxx
2398;Alle 5 Sek. 14 Mana;xxxx
2399;Alle 5 Sek. 15 Mana;xxxx
2400;Alle 5 Sek. 15 Mana;xxxx
2401;Alle 5 Sek. 1 Gesundheit;xxxx
2402;Alle 5 Sek. 1 Gesundheit;xxxx
2403;Alle 5 Sek. 1 Gesundheit;xxxx
2404;Alle 5 Sek. 1 Gesundheit;xxxx
2405;Alle 5 Sek. 1 Gesundheit;xxxx
2406;Alle 5 Sek. 2 Gesundheit;xxxx
2407;Alle 5 Sek. 2 Gesundheit;xxxx
2408;Alle 5 Sek. 2 Gesundheit;xxxx
2409;Alle 5 Sek. 2 Gesundheit;xxxx
2410;Alle 5 Sek. 3 Gesundheit;xxxx
2411;Alle 5 Sek. 3 Gesundheit;xxxx
2412;Alle 5 Sek. 3 Gesundheit;xxxx
2413;Alle 5 Sek. 3 Gesundheit;xxxx
2414;Alle 5 Sek. 4 Gesundheit;xxxx
2415;Alle 5 Sek. 4 Gesundheit;xxxx
2416;Alle 5 Sek. 4 Gesundheit;xxxx
2417;Alle 5 Sek. 4 Gesundheit;xxxx
2418;Alle 5 Sek. 5 Gesundheit;xxxx
2419;Alle 5 Sek. 5 Gesundheit;xxxx
2420;Alle 5 Sek. 5 Gesundheit;xxxx
2421;Alle 5 Sek. 5 Gesundheit;xxxx
2422;Alle 5 Sek. 6 Gesundheit;xxxx
2423;Alle 5 Sek. 6 Gesundheit;xxxx
2424;Alle 5 Sek. 6 Gesundheit;xxxx
2425;Alle 5 Sek. 6 Gesundheit;xxxx
2426;Alle 5 Sek. 7 Gesundheit;xxxx
2427;Alle 5 Sek. 7 Gesundheit;xxxx
2428;Alle 5 Sek. 7 Gesundheit;xxxx
2429;Alle 5 Sek. 7 Gesundheit;xxxx
2430;Alle 5 Sek. 8 Gesundheit;xxxx
2431;Alle 5 Sek. 8 Gesundheit;xxxx
2432;Alle 5 Sek. 8 Gesundheit;xxxx
2433;Alle 5 Sek. 8 Gesundheit;xxxx
2434;Alle 5 Sek. 9 Gesundheit;xxxx
2435;Alle 5 Sek. 9 Gesundheit;xxxx
